seller_id,total_sells
001e6ad469a905060d959994f1b41e4f,1
003554e2dce176b5555353e4f3555ac8,1
00ab3eff1b5192e5f1a63bcecfee11c8,1
00d8b143d12632bad99c0ad66ad52825,1
04ee0ec01589969663ba5967c0e0bdc0,1
05a48cc8859962767935ab9087417fbb,1
05ca864204d09595ae591b93ea9cf93d,1
07a9bc7f61396b658ddf3ac534efe44c,1
08d1c9478fb0d7d7fcac9c0da4e82fc7,1
0a198e95d32b1be2da9424c962a6ebfa,1
0af2ab31141893d26aca5a404a537dab,1
0b09101900100c0e9d312861fad5a1b9,1
0b1ca3ef18a63d7eb0c8897fa0849c08,1
0b46f784306be7200ca1700aa55d819f,1
0bb27263628258b8111a0262769fa9db,1
0ee4fb99ac55ffbbc98795aa01b7f8fa,1
0f519b0d2e5eb2227c93dd25038bfc01,1
0f80a40c312b2472dca482cf50f5186f,1
0f94588695d71662beec8d883ffacf09,1
101921376b577a4540dc30e9009133ca,1
134b867a0f7f8bbe6abf10f91874891e,1
139157dd4daa45c25b0807ffff348363,1
13d95f0f6f73943d4ceffad0fc2cd32c,1
13e85aac53340018b40c2af68001b7e0,1
1444c08e64d55fb3c25f0f09c07ffcf2,1
154bdf805377afea75a3bd158e9eab10,1
15ac3c501e2599e4917316fde5c5669a,1
15aec03fe4cf30dfa574cf550f5ff5ff,1
164a5a8794e6d42e14f55e447b12a3bc,1
16bdc8cefd0e32a6f0824d296c5ad14a,1
1703bc09972dab9782e7a9194943b69f,1
1746c1ae87ac63d530c7c943d0ac42e2,1
1927cdb9fa74f5270097f6250e8e8f34,1
19484c79cef6c062cb177aa4ef2fcc3c,1
1992f8fb6b19fcccd97ca819811e7267,1
19a7c9f66ffa6452ff4b4c0cca71da27,1
19d62d484cba71963c93f0f00ab42013,1
1a6245add4353f18ed55138808906979,1
1a8e2d9c38b84a9702ac7922924b0573,1
1b4b28463457a256e9a784ebe2a8f630,1
1b61fb1f0f2185d89e9a126c498e9cc7,1
1c742ac33582852aaf3bcfbf5893abcf,1
1c83418358f249c9d6affa52d579db0e,1
1d953075c2f0dd990bacf27b83b330f1,1
1e47d8b6546eb3a77b1acddcc9406242,1
1f2eebc0e970fd3c463e4f5d9652687a,1
1f7dfad2cb384ea4d2d7e1ffbd78c407,1
1fa2d3def6adfa70e58c276bb64fe5bb,1
1fddcb7b326905d3ad5efe82187db347,1
2039c5e51785b5dde7cf93ccb3b7be2c,1
204b4e07bddef3c9b317f70189135b22,1
2078fe5066350e7d220c0ad3a3bbc6c1,1
20f0aeea30bc3b8c4420be8ced4226c0,1
20fd2d2080ed85fa67fad3fcbb2c1813,1
2235cf78d3e2073a88146a9cb60f0dd0,1
