seller_city,average_revenue
laranjeiras do sul,1459.97
laurentino,256.48
lauro de freitas,112762.525
leme,298.7
lencois paulista,1532.5366666666666
limeira,6616.054117647059
loanda,1496.7266666666667
londrina,3872.6765384615383
lorena,855.75
louveira,15960.95
luiz alves,6729.5
luziania,2284.98
macae,8561.8
macatuba,13
mage,6693.69
mairinque,514.27
mairipora,1111.49
mamanguape,14368.61
manaus,1177
mandaguacu,623.7
mandaguari,1716
mandirituba,3578
marapoama,169.9
marechal candido rondon,544.1633333333333
marialva,92.9
marica,1548.9
marilia,2290.5793333333336
maringa,5181.43775
massaranduba,2658.45
mateus leme,8757.98
maua,2237.596153846154
maua/sao paulo,734.99
medianeira,59.99
mesquita,2060.87
messias targino,98
miguelopolis,339.7
minas gerais,249.9
mineiros do tiete,1822.11
mirandopolis,13132.2
mirassol,995.79
mococa,2411.3
mogi das cruses,1104.7
mogi das cruzes,3053.5926666666664
mogi das cruzes / sp,54
mogi guacu,7507.40625
mogi mirim,1119.2866666666666
mombuca,2666.7
monte alegre do sul,139.96
monte alto,1499.94
monte siao,29052.53
monteiro lobato,2338.25
montenegro,13679.95
montes claros,1283.0466666666666
morrinhos,1025.08
mucambo,457
muqui,4353.9
muriae,678
natal,3288
navegantes,7570.016666666666
neopolis,509.5
nhandeara,269.9
nilopolis,4235.35
niteroi,3418.445
nova friburgo,12515.852
nova iguacu,1488.1200000000001
nova lima,1154.35
nova odessa,352.66999999999996
nova petropolis,1077.8
nova trento,594
novo hamburgo,5385.4366666666665
"novo hamburgo, rio grande do sul, brasil",66.64
novo horizonte,5788.52
olimpia,231.9
oliveira,57
orlandia,839.4
orleans,185
osasco,3115.4240625
osvaldo cruz,411.72
ourinhos,389.64
ouro fino,2877.7
ouro preto,1622.74
pacatuba,139
paincandu,10220.5
palhoca,605.58125
palotina,9.99
paracambi,125
parai,6911.71
paraiba do sul,4537.6
paraiso do sul,277.67
parana,175
paranavai,1872.79
parnamirim,3266.6
passos,86.5
pato bragado,172.8
pato branco,150.785
patos de minas,7599.150000000001
paulinia,2348.015
paulo lopes,1172.49
pederneiras,1294.97
pedregulho,622
pedreira,4769.261111111111
pedrinhas paulista,195.74
pedro leopoldo,182.7
pelotas,110.3
penapolis,9663.944
petropolis,19608.3
picarras,759
pilar do sul,3072.3
pinhais,2854.25375
pinhais/pr,989.74
pinhalao,765.19
pinhalzinho,120.75
piracanjuba,1135.2
piracicaba,17723.15166666667
pirassununga,79.9
pirituba,21712.9
pitanga,791.145
pitangueiras,79.39
poa,8526.04
pocos de caldas,1381.398
pompeia,2770.6266666666666
ponta grossa,356.41833333333335
ponte nova,9478.3
portao,2042.98
porto alegre,3717.4392857142857
porto belo,684.85
porto ferreira,1586.02
porto seguro,1320.7
porto velho,3579.94
portoferreira,336
pouso alegre,49.9
pradopolis,23964.34
prados,210
praia grande,8737.463
presidente bernardes,489.93
presidente epitacio,671.5
presidente getulio,202.89
presidente prudente,3716.1991666666668
queimados,12333.39
recife,17075.2
registro,8393.42
resende,19.99
ribeirao das neves,2478.48
ribeirao pires,2877.76
ribeirao preto,5307.239230769231
ribeirao preto / sao paulo,1208
ribeirao pretp,153.6
riberao preto,56363.24
rio bonito,1847
rio branco,267
rio claro,1174.5108333333333
rio das pedras,229.9
rio de janeiro,3733.4748958333334
rio de janeiro / rio de janeiro,721.89
rio de janeiro \rio de janeiro,315.7
"rio de janeiro, rio de janeiro, brasil",789.8
rio do oeste,79.7
rio do sul,4222.5625
rio grande,822.58
rio negrinho,1341.45
rio verde,4278.75
robeirao preto,60
rodeio,1828.15
rolandia,9946.893333333333
rolante,344.2
ronda alta,100.9
s jose do rio preto,11983.28
sabara,1217.9
salto,14030.494444444445
salvador,2948.925714285714
sando andre,1772.45
santa barbara d oeste,855.91
santa barbara d'oeste,5522.585
santa barbara d´oeste,56250.155
santa catarina,80.9
santa cecilia,537.76
santa cruz do sul,388
santa maria,401.96000000000004
santa maria da serra,164.96
santa rita do sapucai,1991.0333333333335
santa rosa,123
santa rosa de viterbo,2381
santa terezinha de goias,302.1
santa terezinha de itaipu,905.5066666666667
santana de parnaiba,2247.56
santo andre,5079.1466666666665
santo andre/sao paulo,567.79
santo angelo,21992.78
santo antonio da patrulha,376.8
santo antonio de padua,2575.9
santo antonio de posse,3654
santos,2842.4768750000003
sao  jose dos pinhais,1598
sao  paulo,10309.42
sao bento,598.4
sao bento do sul,733.6999999999999
sao bernardo do campo,5605.1221875
sao bernardo do capo,186.69
sao caetano do sul,2750.5315
sao carlos,1307.3046153846153
sao francisco do sul,1154
sao goncalo,5357.615714285714
sao joao da boa vista,287
sao joao de meriti,1656.9433333333334
sao joao del rei,2685.4
sao joaquim da barra,8711.4
sao jose,2777.4359999999997
sao jose do rio pardo,595.875
sao jose do rio pret,499.6
sao jose do rio preto,5935.25393939394
sao jose dos campos,4960.613333333333
sao jose dos pinhais,1853.9239999999998
sao jose dos pinhas,604.8
sao leopoldo,2737.95
sao ludgero,7541.049999999999
sao luis,36408.95
sao miguel d'oeste,594.98
sao miguel do oeste,39
sao paluo,5279.91
sao paulo,3894.637089337176
sao paulo - sp,2930.566666666666
sao paulo / sao paulo,299.5
sao paulo sp,390
sao paulop,256.39
sao pauo,169.9
sao pedro,2453.655
sao pedro da aldeia,728.79
sao roque,1350.967142857143
sao sebastiao,8599
sao sebastiao da grama/sp,61.9
sao vicente,358
sapiranga,29.9
saquarema,346.6
sarandi,8683.15
são paulo,47.8
sbc,730
sbc/sp,1535.2
scao jose do rio pardo,8285.42
serra,157.75666666666666
serra negra,8688.6
serra redonda,355
serrana,12227.82
sertanopolis,149.7
sete lagoas,3128.675
sinop,7784.5
socorro,1812.96
soledade,578
sombrio,5711.8
sorocaba,2013.1575
sp,1227.55
sp / sp,1045.47
sumare,39165.042
suzano,7462.71
tabao da serra,1372.3
tabatinga,1592.49
taboao da serra,578.862
taio,175.7
tambau,29.8
tanabi,857.945
taruma,1912.15
tatui,1399.6266666666668
taubate,858.3133333333334
teixeira soares,13533.65
teresina,2522
teresopolis,65171.045
terra boa,973.6
tiete,1552.27
timbo,5287.475
timoteo,7058
tiradentes,1255.75
tocantins,64.9
toledo,464.57125
torres,149.79
tres coracoes,7701.080000000001
tres coroas,139.9
tres de maio,596.55
tres rios,3714.83
treze tilias,151.03
triunfo,261.7
tubarao,1561.466
tupa,3433.8525
uba,6762.145
ubatuba,1471.54
uberaba,5467.086666666667
uberlandia,3996.619166666667
umuarama,9369.57
uniao da vitoria,41.9
uruacu,1221.355
uruguaiana,29.99
valinhos,1225.1985714285713
vargem grande do sul,583.5
vargem grande paulista,2489.3
varginha,2407.5125
varzea alegre,658
varzea paulista,701.54
vassouras,1041.3
venancio aires,440.77
vendas@creditparts.com.br,6381.78
vera cruz,90.98
vespasiano,1597.3
viamao,8784.039999999999
viana,98
vicente de carvalho,9027.4
vicosa,12638.9
videira,38442.7
vila velha,1681.1779999999999
vitoria,876.9925000000001
vitoria de santo antao,2217.99
volta redonda,6477.3949999999995
votorantim,5014.085
votuporanga,5276.8675
xanxere,1148.525
xaxim,360
