city,total_sale,total_freight
guiricema,368.6,65.02
holambra,1322.93,119.16
horizontina,739,46.75
hortolandia,36836.37,3958.21
ibia,3610.7,755.06
ibirite,102,23.64
ibitinga,624592.94,137681.07
icara,6674,1201.71
igaracu do tiete,382.83,111.18
igrejinha,314.96,79.26
ilheus,8865.47,779.15
ilicinea,101901.16,31844.09
imbe,3221.5,406.67
imbituba,1173.6,321.07
imbituva,578.2,155.52
imigrante,48.9,12.48
indaial,3636.88,276.27
indaiatuba,33964.1,5290.41
ipatinga,9784.5,816.01
ipaussu,7268,1431.32
ipe,244,86.06
ipira,1541.9,209.31
ipua,249,42.72
irati,512,100.39
irece,299.89,63.9
itabira,124.6,58.93
itaborai,399,264.72
itaipulandia,1397.84,248.94
itajai,33142.73,6179.74
itajobi,10723.08,765.47
itapecerica da serra,14989.67,2828.14
itapema,60,27.7
itapetininga,488.88,43.6
itapeva,917,161.43
itapevi,10241.74,1593.38
itaporanga,201.5,68.86
itapui,175,24.84
itaquaquecetuba,230568.12,60377.11
itatiba,68624.91,11472.82
itau de minas,174.7,52.97
itauna,54824.22,7024.11
itirapina,307.6,65.47
itu,1641,433.72
ivoti,1400,74.76
jaboticabal,13719.06,3768.43
jacarei,92653.77,15775.77
jacarei / sao paulo,179.9,77.42
jaci,1468.4,434.83
jaciara,318,150.94
jacutinga,10917.41,2803.45
jaguariuna,4163.5,909.5
jaguaruna,3266.6,1325.98
jales,5039.9,1709.57
jambeiro,1280,96.94
janauba,354.9,18.92
japira,3415.7,420
jaragua,314.51,122.14
jaragua do sul,24914.23,4981.84
jarinu,14.63,23.74
jau,47587.49,8704.05
ji parana,1182.26,438.87
joao monlevade,158.78,119.18
joao pessoa,1695.49,315.62
joao pinheiro,1519.96,249.63
joinville,86892.22,15108.7
juiz de fora,15615.09,3022.95
jundiai,30681.69,5148.3
jussara,13154.7,1761.69
juzeiro do norte,39.9,22.21
lages,52623.84,6025.86
lages - sc,1692,505.6
lagoa da prata,5274.1,1192.65
lagoa santa,1328.02,217.81
laguna,501.2,95.39
lajeado,9549.49,1393.38
lambari,165.8,59.81
laranjal paulista,17246.81,4599.14
laranjeiras do sul,1459.97,86.87
laurentino,512.96,182.4
lauro de freitas,225525.05,13150.37
leme,298.7,102.54
lencois paulista,9195.22,2137.22
limeira,112472.92,18411.43
loanda,4490.18,860.5
londrina,100689.59,12333.14
lorena,1711.5,237.51
louveira,15960.95,2499.27
luiz alves,6729.5,457.39
luziania,2284.98,435.95
macae,25685.4,1097.18
macatuba,13,12.69
mage,6693.69,986.37
mairinque,514.27,208.7
mairipora,2222.98,501.13
mamanguape,14368.61,678.02
manaus,1177,81.8
mandaguacu,623.7,406.48
mandaguari,1716,311.4
mandirituba,3578,427.32
marapoama,169.9,12.69
marechal candido rondon,1632.49,391.07
marialva,92.9,20.97
marica,1548.9,239.04
marilia,34358.69,4375.41
maringa,207257.51,38652.24
massaranduba,2658.45,714.68
mateus leme,8757.98,593.62
maua,29088.75,6823.81
maua/sao paulo,734.99,42.14
medianeira,59.99,17.67
mesquita,6182.61,2131.79
messias targino,98,27.64
miguelopolis,339.7,40.74
minas gerais,249.9,106.21
mineiros do tiete,1822.11,946.55
mirandopolis,13132.2,1854.45
mirassol,3983.16,963.79
mococa,2411.3,557.47
mogi das cruses,1104.7,160.49
mogi das cruzes,45803.89,8044.42
mogi das cruzes / sp,54,14.55
mogi guacu,60059.25,10950.11
mogi mirim,3357.86,681.71
mombuca,2666.7,957.31
monte alegre do sul,139.96,57.06
monte alto,1499.94,158.15
monte siao,29052.53,6798.26
monteiro lobato,2338.25,697.14
montenegro,27359.9,3717.36
montes claros,3849.14,145.49
morrinhos,3075.24,897.88
mucambo,457,352.41
muqui,4353.9,665.7
muriae,678,183.46
natal,6576,795.87
navegantes,22710.05,2671.56
neopolis,509.5,186.09
nhandeara,269.9,43.71
nilopolis,8470.7,1015.31
niteroi,27347.56,2045.28
nova friburgo,62579.26,2673.86
nova iguacu,7440.6,1261.29
nova lima,1154.35,194.18
nova odessa,705.34,236.83
nova petropolis,1077.8,209.56
nova trento,594,263.7
novo hamburgo,32312.62,3356.26
"novo hamburgo, rio grande do sul, brasil",66.64,23.4
novo horizonte,5788.52,1297.61
olimpia,231.9,38.59
oliveira,57,45.3
orlandia,839.4,81.84
orleans,185,51.79
osasco,99693.57,12772.78
osvaldo cruz,1235.16,77.04
ourinhos,389.64,108.71
ouro fino,2877.7,257.53
ouro preto,1622.74,566.12
pacatuba,139,85.75
paincandu,10220.5,698.24
palhoca,4844.65,1003.99
palotina,9.99,18.23
paracambi,125,18.98
parai,6911.71,638
paraiba do sul,4537.6,581.15
paraiso do sul,277.67,125.76
parana,175,35.75
paranavai,1872.79,365.55
parnamirim,3266.6,444.04
passos,86.5,19.85
pato bragado,172.8,59.16
pato branco,301.57,156.63
patos de minas,15198.3,3220.1
paulinia,9392.06,779.89
paulo lopes,2344.98,245.94
pederneiras,1294.97,164.56
pedregulho,622,123.92
pedreira,42923.35,14349.21
pedrinhas paulista,195.74,44.32
pedro leopoldo,182.7,48.1
pelotas,330.9,233.08
penapolis,48319.72,9710.84
petropolis,117649.8,14686.44
picarras,759,149.64
pilar do sul,3072.3,429.39
pinhais,22834.03,4919.14
pinhais/pr,989.74,108.59
pinhalao,765.19,219.85
pinhalzinho,241.5,120.42
piracanjuba,1135.2,330.53
piracicaba,212677.82,31496.57
pirassununga,79.9,22.19
pirituba,21712.9,3837.11
pitanga,1582.29,322.79
pitangueiras,79.39,14.14
poa,8526.04,2739.21
pocos de caldas,6906.99,2348.99
pompeia,8311.88,830.35
ponta grossa,2138.51,484.62
ponte nova,9478.3,2044.36
portao,2042.98,571.28
porto alegre,104088.3,17185.97
porto belo,1369.7,351.59
porto ferreira,14274.18,5794.39
porto seguro,1320.7,454.24
porto velho,3579.94,273.91
portoferreira,336,117.8
pouso alegre,49.9,12.48
pradopolis,47928.68,2964.99
prados,210,175.42
praia grande,87374.63,20291.14
presidente bernardes,489.93,101.9
presidente epitacio,671.5,115.76
presidente getulio,202.89,16.17
presidente prudente,44594.39,8346.73
queimados,12333.39,1306.02
recife,85376,10849.43
registro,16786.84,1543.19
resende,19.99,22.06
ribeirao das neves,4956.96,1246.61
ribeirao pires,17266.56,3541.64
ribeirao preto,275976.44,38705.73
ribeirao preto / sao paulo,1208,575.36
ribeirao pretp,153.6,28.34
riberao preto,56363.24,5239.96
rio bonito,3694,170.1
rio branco,267,32.84
rio claro,14094.13,1959.42
rio das pedras,229.9,19.49
rio de janeiro,358413.59,46224.29
rio de janeiro / rio de janeiro,721.89,80.72
rio de janeiro \rio de janeiro,315.7,81.3
"rio de janeiro, rio de janeiro, brasil",789.8,43.35
rio do oeste,79.7,73.1
rio do sul,16890.25,4012.81
rio grande,822.58,353.17
rio negrinho,1341.45,268.28
rio verde,4278.75,512.63
robeirao preto,60,30.08
rodeio,3656.3,432.49
rolandia,29840.68,6553.78
rolante,344.2,172
ronda alta,100.9,19.9
s jose do rio preto,11983.28,3808.84
sabara,1217.9,164.78
salto,126274.45,24492.34
salvador,20642.48,2436.06
sando andre,1772.45,201.17
santa barbara d oeste,855.91,176.48
santa barbara d'oeste,22090.34,4519.98
santa barbara d´oeste,112500.31,13729.02
santa catarina,80.9,16.76
santa cecilia,537.76,100.82
santa cruz do sul,388,65.44
santa maria,1205.88,223.75
santa maria da serra,164.96,50.14
santa rita do sapucai,11946.2,2006.01
santa rosa,246,90.96
santa rosa de viterbo,2381,265.94
santa terezinha de goias,302.1,115.82
santa terezinha de itaipu,2716.52,710.88
santana de parnaiba,20228.04,2394.42
santo andre,228561.6,46249.18
santo andre/sao paulo,567.79,177.01
santo angelo,21992.78,1815.39
santo antonio da patrulha,376.8,37.99
santo antonio de padua,2575.9,346.43
santo antonio de posse,3654,1011.98
santos,45479.63,9132.55
sao  jose dos pinhais,1598,284.8
sao  paulo,10309.42,858.56
sao bento,598.4,366.59
sao bento do sul,2201.1,801.08
sao bernardo do campo,179363.91,20978.55
sao bernardo do capo,186.69,32.06
sao caetano do sul,55010.63,3232.34
sao carlos,16994.96,2894.03
sao francisco do sul,1154,300.44
sao goncalo,37503.31,6386.54
sao joao da boa vista,287,68.39
sao joao de meriti,4970.83,832.75
sao joao del rei,5370.8,1085.21
sao joaquim da barra,8711.4,1213.67
sao jose,13887.18,3509.82
sao jose do rio pardo,1191.75,430.03
sao jose do rio pret,499.6,69.66
sao jose do rio preto,195863.38,50807.22
sao jose dos campos,89291.04,12259.55
sao jose dos pinhais,18539.24,3398.01
sao jose dos pinhas,604.8,140.77
sao leopoldo,5475.9,306.85
sao ludgero,15082.1,3064.35
sao luis,36408.95,12141.29
sao miguel d'oeste,594.98,142.16
sao miguel do oeste,39,16.79
sao paluo,5279.91,714.01
sao paulo,2702878.14,478867.99
sao paulo - sp,8791.7,2008.33
sao paulo / sao paulo,299.5,45.85
sao paulo sp,390,61.28
sao paulop,256.39,100.45
sao pauo,169.9,9.56
sao pedro,4907.31,861.03
sao pedro da aldeia,728.79,255.79
sao roque,9456.77,2023.55
sao sebastiao,8599,975.27
sao sebastiao da grama/sp,61.9,14.74
sao vicente,358,39.61
sapiranga,29.9,16.11
saquarema,346.6,208.89
sarandi,26049.45,3161.47
são paulo,47.8,36.46
sbc,730,45.98
sbc/sp,1535.2,280.2
scao jose do rio pardo,8285.42,1415.48
serra,473.27,187.15
serra negra,26065.8,4430.07
serra redonda,355,57.12
serrana,12227.82,531.11
sertanopolis,149.7,85.41
sete lagoas,12514.7,4522.01
sinop,7784.5,2060.06
socorro,1812.96,347.89
soledade,578,31.5
sombrio,11423.6,1880.54
sorocaba,64421.04,11701.46
sp,4910.2,766.33
sp / sp,1045.47,244.06
sumare,195825.21,10366.91
suzano,22388.13,2652.57
tabao da serra,1372.3,230.27
tabatinga,4777.47,1252
taboao da serra,5788.62,995.62
taio,175.7,139.74
tambau,29.8,12.69
tanabi,1715.89,305.73
taruma,1912.15,203.68
tatui,4198.88,1067.22
taubate,5149.88,1150.85
teixeira soares,13533.65,1475.09
teresina,2522,443.32
teresopolis,130342.09,6761.32
terra boa,973.6,360.58
tiete,1552.27,231.62
timbo,10574.95,2463.95
timoteo,7058,628.31
tiradentes,2511.5,915.41
tocantins,64.9,31.2
toledo,3716.57,1105.41
torres,149.79,60.09
tres coracoes,23103.24,5067.64
tres coroas,139.9,34.78
tres de maio,596.55,248.79
tres rios,3714.83,1821.12
treze tilias,302.06,89.01
triunfo,261.7,54.53
tubarao,7807.33,1078.77
tupa,13735.41,2513.42
uba,40572.87,10047.26
ubatuba,1471.54,276.15
uberaba,16401.26,1217.84
uberlandia,47959.43,11352.41
umuarama,37478.28,3811.66
uniao da vitoria,41.9,35.48
uruacu,2442.71,560.13
uruguaiana,29.99,15.1
valinhos,8576.39,1425.64
vargem grande do sul,1750.5,399.6
vargem grande paulista,2489.3,208.53
varginha,9630.05,2164.96
varzea alegre,658,99.75
varzea paulista,701.54,504.23
vassouras,1041.3,277.41
venancio aires,1322.31,212.21
vendas@creditparts.com.br,6381.78,734.18
vera cruz,90.98,50.35
vespasiano,1597.3,205.5
viamao,17568.08,1526.95
viana,98,53.04
vicente de carvalho,9027.4,2604.21
vicosa,25277.8,2302.71
videira,76885.4,11297.65
vila velha,8405.89,727.02
vitoria,3507.97,425.47
vitoria de santo antao,2217.99,123.77
volta redonda,12954.79,2990.14
votorantim,20056.34,4807.69
votuporanga,21107.47,3128
xanxere,2297.05,193.8
xaxim,360,50.42
